date,symbol,open,high,low,close,volume
2024-01-02,SPY,472.16,473.67,470.49,472.65,123623700.0
2024-01-03,SPY,470.43,471.19,468.17,468.79,103585900.0
2024-01-04,SPY,468.3,470.96,467.05,467.28,84232200.0
2024-01-05,SPY,467.49,470.44,466.43,467.92,86118900.0
2024-01-08,SPY,468.43,474.75,468.3,474.6,74879100.0
2024-01-09,SPY,471.87,474.93,471.35,473.88,65931400.0
2024-01-10,SPY,474.16,477.45,473.87,476.56,67310600.0
2024-01-11,SPY,477.59,478.12,472.26,476.35,77940700.0
2024-01-12,SPY,477.84,478.6,475.23,476.68,58026400.0
2024-01-16,SPY,475.26,476.61,473.06,474.93,85014900.0
2024-01-17,SPY,471.82,472.79,469.87,472.29,68843900.0
2024-01-18,SPY,474.01,477.06,472.42,476.49,91856200.0
2024-01-19,SPY,477.65,482.72,476.54,482.43,110834500.0
2024-01-22,SPY,484.01,485.22,482.78,483.45,75844900.0
2024-01-23,SPY,484.01,485.11,482.89,484.86,49945300.0
2024-01-24,SPY,487.81,488.77,484.88,485.39,81765000.0
2024-01-25,SPY,487.58,488.31,485.39,488.03,72525000.0
2024-01-26,SPY,487.59,489.12,486.54,487.41,76641600.0
2024-01-29,SPY,487.73,491.42,487.17,491.27,61322800.0
2024-01-30,SPY,490.56,491.62,490.11,490.89,58618400.0
2024-01-31,SPY,488.62,489.08,482.86,482.88,126011100.0
2024-02-01,SPY,484.63,489.23,483.8,489.2,91891600.0
2024-02-02,SPY,489.65,496.05,489.3,494.35,99228200.0
2024-02-05,SPY,493.7,494.38,490.23,492.55,75757100.0
2024-02-06,SPY,493.52,494.32,492.05,493.98,55918600.0
2024-02-07,SPY,496.29,498.53,495.36,498.1,70556500.0
2024-02-08,SPY,498.1,498.71,497.26,498.32,52343600.0
2024-02-09,SPY,498.84,501.65,498.49,501.2,63979400.0
2024-02-12,SPY,501.17,503.5,500.24,500.98,56502300.0
2024-02-13,SPY,494.53,497.09,490.72,494.08,113099200.0
2024-02-14,SPY,496.79,499.07,494.4,498.57,68387800.0
2024-02-15,SPY,499.29,502.2,498.8,502.01,61683000.0
2024-02-16,SPY,501.7,502.87,498.75,499.51,75532900.0
2024-02-20,SPY,497.72,498.41,494.45,496.76,71736700.0
2024-02-21,SPY,495.42,497.37,493.56,497.21,59293400.0
2024-02-22,SPY,504.01,508.49,503.02,507.5,76402500.0
2024-02-23,SPY,509.27,510.13,507.1,507.85,61321800.0
2024-02-26,SPY,508.3,508.75,505.86,505.99,50386700.0
2024-02-27,SPY,506.7,507.16,504.75,506.93,48854500.0
2024-02-28,SPY,505.33,506.86,504.96,506.26,56506600.0
2024-02-29,SPY,508.07,509.74,505.35,508.08,83924800.0
2024-03-01,SPY,508.98,513.29,508.56,512.85,76844800.0
2024-03-04,SPY,512.03,514.2,512.0,512.3,49799300.0
2024-03-05,SPY,510.24,510.7,504.91,507.18,72855600.0
2024-03-06,SPY,510.55,512.07,508.42,509.75,68382400.0
2024-03-07,SPY,513.14,515.89,509.81,514.81,58652100.0
2024-03-08,SPY,515.46,518.22,511.13,511.72,86532500.0
2024-03-11,SPY,510.48,511.88,508.5,511.28,62557200.0
2024-03-12,SPY,513.45,517.38,510.86,516.78,73114400.0
2024-03-13,SPY,517.11,517.29,514.49,515.97,55104100.0
2024-03-14,SPY,516.97,517.13,511.82,514.95,110171800.0
2024-03-15,SPY,510.21,511.7,508.12,509.83,107646300.0
2024-03-18,SPY,514.0,515.48,512.44,512.86,88893300.0
2024-03-19,SPY,512.15,516.0,511.12,515.71,60755300.0
2024-03-20,SPY,515.77,520.62,515.08,520.48,69594600.0
2024-03-21,SPY,523.39,524.11,521.91,522.2,60256100.0
2024-03-22,SPY,522.11,522.61,520.97,521.21,79070800.0
2024-03-25,SPY,519.8,520.95,519.61,519.77,48512100.0
2024-03-26,SPY,521.23,521.58,518.4,518.81,65463700.0
2024-03-27,SPY,521.71,523.21,519.49,523.17,82999800.0
2024-03-28,SPY,523.21,524.61,522.78,523.07,96294900.0
2024-04-01,SPY,523.83,524.38,520.97,522.16,62477500.0
2024-04-02,SPY,518.24,518.98,516.48,518.84,74230300.0
2024-04-03,SPY,517.72,520.95,517.67,519.41,59155800.0
2024-04-04,SPY,523.52,523.87,512.76,513.07,96858100.0
2024-04-05,SPY,514.46,520.44,514.01,518.43,74546500.0
2024-04-08,SPY,519.15,520.18,517.89,518.72,48401800.0
2024-04-09,SPY,520.5,520.75,514.35,519.32,68049200.0
2024-04-10,SPY,513.48,516.16,512.09,514.12,82652800.0
2024-04-11,SPY,515.68,519.48,512.08,518.0,70099000.0
2024-04-12,SPY,514.37,515.82,509.08,510.85,92561100.0
2024-04-15,SPY,515.13,515.3,503.58,504.45,92101400.0
2024-04-16,SPY,504.94,506.5,502.21,503.53,73484000.0
2024-04-17,SPY,506.05,506.22,499.12,500.55,75910300.0
2024-04-18,SPY,501.98,504.13,498.56,499.52,74548100.0
2024-04-19,SPY,499.44,500.46,493.86,495.16,102212600.0
2024-04-22,SPY,497.83,502.38,495.43,499.72,67961000.0
2024-04-23,SPY,501.78,506.09,499.53,505.65,64633600.0
2024-04-24,SPY,506.56,507.37,503.13,505.41,55928100.0
2024-04-25,SPY,499.18,504.27,497.49,503.49,69122400.0
2024-04-26,SPY,506.35,509.88,505.7,508.26,64306100.0
2024-04-29,SPY,510.09,510.75,507.25,510.06,46415400.0
2024-04-30,SPY,508.56,509.56,501.98,501.98,77483600.0
2024-05-01,SPY,501.38,508.19,499.87,500.35,80242800.0
2024-05-02,SPY,504.15,505.89,499.55,505.03,62550200.0
2024-05-03,SPY,511.16,512.55,508.56,511.29,72756700.0
2024-05-06,SPY,513.75,516.61,513.3,516.57,47264700.0
2024-05-07,SPY,517.56,518.57,516.45,517.14,52561300.0
2024-05-08,SPY,515.26,517.74,515.14,517.19,42047200.0
2024-05-09,SPY,517.38,520.21,516.71,520.17,43643700.0
2024-05-10,SPY,521.81,522.64,519.59,520.84,52233200.0
2024-05-13,SPY,522.56,522.67,519.74,520.91,36716400.0
2024-05-14,SPY,521.11,523.83,520.56,523.3,57535900.0
2024-05-15,SPY,525.83,530.08,525.18,529.78,59504900.0
2024-05-16,SPY,529.88,531.52,528.54,528.69,50244800.0
2024-05-17,SPY,528.81,529.52,527.32,529.45,59187600.0
2024-05-20,SPY,529.57,531.56,529.17,530.06,37764200.0
2024-05-21,SPY,529.28,531.52,529.07,531.36,33437000.0
2024-05-22,SPY,530.65,531.38,527.6,529.83,48390000.0
2024-05-23,SPY,532.96,533.07,524.72,525.96,57211200.0
2024-05-24,SPY,527.85,530.27,526.88,529.44,41291100.0
2024-05-28,SPY,530.27,530.51,527.11,529.81,36269600.0
2024-05-29,SPY,525.68,527.31,525.37,526.1,45190300.0
2024-05-30,SPY,524.52,525.2,521.33,522.61,46377600.0
2024-05-31,SPY,523.59,527.5,518.36,527.37,90785800.0
2024-06-03,SPY,529.02,529.31,522.6,527.8,46835700.0
2024-06-04,SPY,526.46,529.15,524.96,528.39,34632700.0
2024-06-05,SPY,530.77,534.69,528.73,534.67,47610400.0
2024-06-06,SPY,534.98,535.42,532.68,534.66,30808500.0
2024-06-07,SPY,533.66,536.89,532.54,534.01,43224500.0
2024-06-10,SPY,533.18,535.99,532.57,535.66,35686100.0
2024-06-11,SPY,534.07,537.01,532.05,536.95,36383400.0
2024-06-12,SPY,541.63,544.12,540.3,541.36,63251300.0
2024-06-13,SPY,543.15,543.33,539.59,542.45,44760900.0
2024-06-14,SPY,540.88,542.81,539.85,542.78,40089900.0
2024-06-17,SPY,542.08,548.53,541.61,547.1,55839500.0
2024-06-18,SPY,547.16,548.62,546.73,548.49,41376400.0
2024-06-20,SPY,549.44,550.12,545.18,547.0,70328200.0
2024-06-21,SPY,544.4,545.65,543.02,544.51,64338600.0
2024-06-24,SPY,544.33,546.95,542.62,542.74,45528700.0
2024-06-25,SPY,543.99,545.2,542.44,544.83,37936200.0
2024-06-26,SPY,543.69,546.24,543.03,545.51,38550600.0
2024-06-27,SPY,545.37,546.96,544.61,546.37,35041500.0
2024-06-28,SPY,547.16,550.28,542.95,544.22,76144500.0
2024-07-01,SPY,545.63,545.88,542.52,545.34,40297800.0
2024-07-02,SPY,543.7,549.01,543.65,549.01,40434800.0
2024-07-03,SPY,548.69,551.83,548.65,551.46,32789900.0
2024-07-05,SPY,551.77,555.05,551.12,554.64,41488400.0
2024-07-08,SPY,555.44,556.25,554.19,555.28,36110500.0
2024-07-09,SPY,556.26,557.18,555.52,555.82,27289700.0
2024-07-10,SPY,557.07,561.67,556.77,561.32,38701200.0
